SURVIVORS INCOMINGSIZE CLOUDSIZE	BUFFERSIZE		ACTIVE			N		SUSCEPTIBLE	LB
17	320 		20		10 			0.11			200		154		137
16	320 		20		10 			0.11			200		125		109
9	320 		20		10 			0.11			200		117		108
21	320 		20		10 			0.11			200		170		149
14	320 		20		10 			0.11			200		139		125
18	320 		20		10 			0.11			200		160		142
18	320 		20		10 			0.11			200		162		144
17	320 		20		10 			0.11			200		147		130
18	320 		20		10 			0.11			200		148		130
17	320 		20		10 			0.11			200		137		120
21	320 		20		10 			0.11			200		164		143
17	320 		20		10 			0.11			200		169		152
16	320 		20		10 			0.11			200		150		134
20	320 		20		10 			0.11			200		186		166
18	320 		20		10 			0.11			200		170		152
20	320 		20		10 			0.11			200		168		148
19	320 		20		10 			0.11			200		147		128
19	320 		20		10 			0.11			200		143		124
15	320 		20		10 			0.11			200		165		150
16	320 		20		10 			0.11			200		124		108
16	320 		20		10 			0.11			200		155		139
16	320 		20		10 			0.11			200		149		133
17	320 		20		10 			0.11			200		153		136
15	320 		20		10 			0.11			200		129		114
17	320 		20		10 			0.11			200		168		151
17	320 		20		10 			0.11			200		154		137
20	320 		20		10 			0.11			200		150		130
19	320 		20		10 			0.11			200		169		150
16	320 		20		10 			0.11			200		136		120
13	320 		20		10 			0.11			200		114		101
16	320 		20		10 			0.11			200		121		105
19	320 		20		10 			0.11			200		169		150
20	320 		20		10 			0.11			200		150		130
20	320 		20		10 			0.11			200		161		141
16	320 		20		10 			0.11			200		128		112
14	320 		20		10 			0.11			200		136		122
11	320 		20		10 			0.11			200		99		88
13	320 		20		10 			0.11			200		133		120
---------------------------------------------AVERAGE-MEAN--------------------------------------------------------------------------------
16.868	320.000		20.000		10.000			.110			200.000		147.868		131.000
